Source;Target;Sim
67;99;0.9464851479534839
68;87;0.9656054162575666
68;72;0.8780954309205613
68;119;0.8650222931107413
69;80;0.9851119396030626
69;89;0.9704455335485083
69;81;0.9656054162575666
70;138;0.9753099120283326
70;127;0.9559974818331
70;149;0.9370674633774034
71;97;0.9464851479534838
71;82;0.9417645335842487
71;92;0.9323938199059483
72;133;0.9370674633774037
72;123;0.9370674633774034
72;146;0.9185122844014574
73;91;0.9559974818330998
73;78;0.9277434863285529
74;97;0.9801986733067553
74;75;0.9656054162575666
74;58;0.9370674633774037
76;58;0.9512294245007139
76;86;0.9417645335842487
76;52;0.9417645335842485
77;86;0.9323938199059483
77;147;0.9185122844014573
78;91;0.9801986733067554
79;81;0.9417645335842486
79;80;0.9139311852712282
79;69;0.9093729344682314
80;81;0.9900498337491681
82;92;0.990049833749168
82;99;0.9656054162575666
83;133;0.9464851479534839
83;101;0.9370674633774034
83;142;0.9370674633774034
84;55;0.9185122844014574
84;96;0.8913661439068314
85;70;0.9139311852712283
85;51;0.9003245225862655
86;58;0.9512294245007139
87;72;0.8478937040879158
87;62;0.8394570207692073
88;95;0.9851119396030625
88;96;0.9851119396030625
88;99;0.9753099120283326
89;80;0.9559974818330998
90;94;0.9656054162575665
90;96;0.9139311852712282
92;99;0.9656054162575666
93;98;0.927743486328553
94;99;0.9851119396030625
94;96;0.9753099120283326
95;96;0.990049833749168
95;99;0.970445533548508
96;99;0.990049833749168
97;91;0.9417645335842487
98;60;0.7710515858035663
100;136;0.9139311852712281
100;144;0.8824969025845953
100;104;0.8780954309205613
101;113;0.9656054162575665
101;121;0.9512294245007141
101;149;0.9464851479534839
102;125;0.9277434863285529
102;120;0.9231163463866359
102;143;0.9185122844014574
103;116;0.9704455335485082
103;137;0.9704455335485082
103;128;0.9464851479534838
104;132;0.9559974818330998
104;128;0.951229424500714
104;140;0.9370674633774034
105;122;0.9656054162575664
105;107;0.8693582353988059
105;135;0.8607079764250578
106;84;0.7633794943368531
106;59;0.7482635675785652
106;90;0.7297888742690569
107;130;0.9656054162575664
107;125;0.9093729344682314
108;128;0.8564151774836136
108;103;0.8352702114112719
108;116;0.8269591339433623
109;143;0.8187307530779818
109;120;0.7985162187593773
109;144;0.778800783071405
110;147;0.9753099120283326
110;115;0.9323938199059483
110;77;0.9139311852712282
111;147;0.9417645335842488
111;128;0.9323938199059483
111;146;0.9323938199059482
112;139;0.9851119396030626
112;140;0.9417645335842488
112;120;0.9370674633774033
113;142;0.9656054162575665
113;121;0.9464851479534839
114;121;0.8869204367171576
114;101;0.8780954309205613
114;142;0.8780954309205613
115;148;0.9559974818330998
115;145;0.9323938199059483
116;137;0.9900498337491681
116;147;0.9370674633774034
117;131;0.9185122844014574
117;105;0.7153380863525599
117;109;0.6907343306373545
118;122;0.9185122844014574
118;105;0.8607079764250577
118;135;0.670320046035639
119;72;0.9093729344682315
119;83;0.8737159116880344
120;143;0.9753099120283326
120;140;0.9656054162575664
120;124;0.9559974818331
121;142;0.9512294245007141
122;107;0.8311042838521254
123;126;0.9851119396030626
123;146;0.9704455335485082
124;143;0.9512294245007141
124;112;0.9323938199059483
125;129;0.9417645335842486
126;127;0.970445533548508
126;138;0.9607894391523232
127;138;0.990049833749168
127;149;0.9607894391523235
128;132;0.9950124791926823
129;130;0.8780954309205613
129;102;0.8737159116880343
130;102;0.9003245225862655
130;125;0.8958341352965281
131;105;0.6770568744981648
131;135;0.6505090947233165
132;103;0.9139311852712281
133;123;0.9323938199059484
134;103;0.8650222931107413
134;83;0.8564151774836135
134;133;0.8436648165963837
135;130;0.8650222931107413
135;102;0.8025187979624784
136;148;0.9704455335485084
136;115;0.927743486328553
137;147;0.927743486328553
139;145;0.9370674633774034
139;141;0.9370674633774033
140;144;0.9704455335485082
141;145;0.970445533548508
141;112;0.8958341352965281
142;149;0.9464851479534839
143;144;0.951229424500714
144;120;0.9559974818330998
145;147;0.9370674633774034
146;126;0.927743486328553
148;110;0.8564151774836135
149;138;0.9512294245007141
