Source;Target
412;4
412;59
413;399
413;75
414;144
414;0
415;414
415;76
416;361
416;1
417;272
417;7
418;88
418;6
419;0
419;11
420;248
420;3
421;17
421;6
422;143
422;185
423;25
423;49
424;217
424;219
425;64
425;212
426;166
426;132
427;216
427;12
428;103
428;249
429;203
429;355
430;242
430;1
431;216
431;93
432;15
432;5
433;44
433;323
434;56
434;24
435;124
435;9
436;52
436;191
437;56
437;349
438;112
438;85
439;418
439;90
440;431
440;380
441;200
441;34
442;58
442;10
443;88
443;388
444;307
444;233
445;4
445;7
446;156
446;313
447;231
447;64
448;281
448;316
449;142
449;88
450;365
450;33
451;127
451;298
452;203
452;0
453;150
453;56
454;301
454;115
455;178
455;260
456;134
456;161
457;261
457;10
458;237
458;165
459;125
459;243
460;183
460;75
461;161
461;403
462;329
462;229
463;5
463;3
464;0
464;106
465;158
465;263
466;232
466;219
467;322
467;59
468;332
468;122
469;3
469;37
470;159
470;207
471;1
471;234
472;451
472;99
473;256
473;14
474;351
474;41
475;8
475;313
476;117
476;67
477;65
477;150
478;27
478;253
479;38
479;10
480;0
480;415
481;17
481;5
482;212
482;351
483;407
483;46
484;148
484;1
485;282
485;310
486;181
486;25
487;135
487;203
488;379
488;46
489;479
489;110
490;151
490;167
491;88
491;157
492;30
492;210
493;365
493;64
494;72
494;208
495;195
495;316
496;41
496;487
497;442
497;208
498;179
498;267
499;10
499;5
500;10
500;70
501;52
501;104
502;13
502;24
503;4
503;23
504;24
504;156
505;6
505;61
506;58
506;203
507;10
507;21
508;187
508;21
509;59
509;104
510;272
510;124
511;141
511;113
512;297
512;80
513;388
513;33
514;489
514;3
515;3
515;371
516;156
516;140
517;155
517;12
518;4
518;377
519;46
519;150
520;7
520;477
521;158
521;101
522;299
522;70
523;384
523;56
524;1
524;13
525;171
525;154
526;326
526;103
527;187
527;112
528;505
528;126
529;70
529;125
530;268
530;387
531;54
531;529
532;506
532;188
533;360
533;73
534;14
534;182
535;335
535;98
536;205
536;387
537;127
537;163
538;153
538;231
539;114
539;368
540;35
540;114
541;349
541;474
542;6
542;313
543;472
543;4
544;4
544;36
545;112
545;8
546;127
546;93
547;325
547;152
548;136
548;489
549;9
549;80
